MAKE,MODEL_YR,VEHICLE_TYPE,DRIVE_TRAIN,BODY_FRAME,BLIND_SPOT_DETECTION,ARS,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING,CRASH_IMMINENT_BRAKE,DYNAMIC_BRAKE_SUPPORT,OVERALL_STARS,BACKUP_CAMERA
CHEVROLET,2024,MPV,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,MPV,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,PC,RWD,Not Available,Not Available,Optional,Not Available,Not Available,Not Available,Not Available,5.0,Not Available
CHEVROLET,2024,PC,RWD,Not Available,Optional,Optional,Optional,Not Available,Not Available,Not Available,5.0,Not Available
CHEVROLET,2024,PC,RWD,Not Available,Optional,Optional,Optional,Not Available,Not Available,Not Available,5.0,Not Available
CHEVROLET,2024,MPV,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,MPV,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,PC,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,TRUCK,4WD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,TRUCK,RWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
CHEVROLET,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
CHEVROLET,2024,MPV,4WD,Not Available,Optional,Optional,Optional,Optional,Optional,Optional,4.0,Not Available
CHEVROLET,2024,MPV,RWD,Not Available,Optional,Optional,Optional,Optional,Optional,Optional,4.0,Not Available
CHEVROLET,2024,MPV,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHEVROLET,2024,MPV,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CHRYSLER,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
CHRYSLER,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
CHRYSLER,2024,MPV,FWD,Not Available,Optional,Not Available,Standard,Optional,Standard,Standard,5.0,Not Available
DODGE,2024,MPV,AWD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,4.0,Not Available
DODGE,2024,MPV,RWD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,4.0,Not Available
FORD,2024,MPV,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,AWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,FWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,AWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,FWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,AWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,FWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,FWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,MPV,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,TRUCK,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
FORD,2024,PC,4WD,Not Available,Optional,Standard,Not Available,Optional,Not Available,Not Available,4.0,Not Available
FORD,2024,PC,FWD,Not Available,Optional,Standard,Not Available,Optional,Not Available,Not Available,4.0,Not Available
FORD,2024,PC,FWD,Not Available,Optional,Standard,Not Available,Optional,Not Available,Not Available,4.0,Not Available
FORD,2024,TRUCK,AWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,AWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,2.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,2.0,Not Available
FORD,2024,TRUCK,AWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,4.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
FORD,2024,TRUCK,RWD,Not Available,Optional,Not Available,Not Available,Optional,Not Available,Not Available,3.0,Not Available
GENESIS,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
GENESIS,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
GMC,2024,TRUCK,4WD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
GMC,2024,TRUCK,RWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
GMC,2024,MPV,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
GMC,2024,MPV,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
GMC,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
GMC,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
GMC,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
GMC,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
HONDA,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,MPV,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,TRUCK,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HONDA,2024,TRUCK,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
HYUNDAI,2024,PC,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
INFINITI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
INFINITI,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
INFINITI,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
INFINITI,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
INFINITI,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
JEEP,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
JEEP,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
JEEP,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
KIA,2024,PC,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
KIA,2024,PC,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
KIA,2024,PC,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
KIA,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
KIA,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
KIA,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
KIA,2024,MPV,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
KIA,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
KIA,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,RWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,RWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,RWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LEXUS,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
LINCOLN,2024,MPV,4WD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
LINCOLN,2024,MPV,RWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
LINCOLN,2024,MPV,AWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
LINCOLN,2024,MPV,FWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
LINCOLN,2024,MPV,AWD,Not Available,Standard,Standard,Not Available,Standard,Not Available,Not Available,5.0,Not Available
MAZDA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
MAZDA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
MAZDA,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
MAZDA,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
MAZDA,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
MAZDA,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
MINI,2024,PC,FWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,4.0,Not Available
MITSUBISHI,2024,MPV,AWD,Not Available,Optional,Not Available,Standard,Optional,Standard,Standard,5.0,Not Available
MITSUBISHI,2024,MPV,FWD,Not Available,Optional,Not Available,Standard,Optional,Standard,Standard,5.0,Not Available
MITSUBISHI,2024,PC,FWD,Not Available,Not Available,Not Available,Standard,Optional,Standard,Standard,4.0,Not Available
MITSUBISHI,2024,MPV,AWD,Not Available,Optional,Not Available,Standard,Standard,Standard,Standard,4.0,Not Available
MITSUBISHI,2024,MPV,FWD,Not Available,Optional,Not Available,Standard,Standard,Standard,Standard,4.0,Not Available
NISSAN,2024,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,PC,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
NISSAN,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
NISSAN,2024,TRUCK,4WD,Not Available,Optional,Optional,Standard,Optional,Standard,Standard,4.0,Not Available
NISSAN,2024,TRUCK,RWD,Not Available,Optional,Optional,Standard,Optional,Standard,Standard,4.0,Not Available
NISSAN,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
NISSAN,2024,TRUCK,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
NISSAN,2024,TRUCK,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
NISSAN,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
POLESTAR,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
POLESTAR,2024,PC,RWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
RAM,2024,TRUCK,4WD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,5.0,Not Available
RAM,2024,TRUCK,RWD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,5.0,Not Available
RAM,2024,TRUCK,4WD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,4.0,Not Available
RAM,2024,TRUCK,RWD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,4.0,Not Available
RAM,2024,TRUCK,4WD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,4.0,Not Available
RAM,2024,TRUCK,RWD,Not Available,Optional,Not Available,Optional,Optional,Optional,Optional,4.0,Not Available
SUBARU,2024,MPV,AWD,Not Available,Optional,Not Available,Standard,Standard,Standard,Standard,5.0,Not Available
SUBARU,2024,MPV,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
SUBARU,2024,PC,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
SUBARU,2024,MPV,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
SUBARU,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
SUBARU,2024,PC,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TESLA,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TESLA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,2WD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,4.0,Not Available
TOYOTA,2024,MPV,4WD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,4.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,PC,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,TRUCK,4WD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,TRUCK,4WD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
TOYOTA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,PC,FWD,Not Available,Standard,Optional,Standard,Optional,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,PC,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
VOLKSWAGEN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
VOLKSWAGEN,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
VOLKSWAGEN,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
VOLKSWAGEN,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
VOLVO,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,PC,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
VOLVO,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2023,PC,FWD,Uni-Body,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2023,MPV,FWD,Uni-Body,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2023,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2023,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2023,PC,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2023,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2023,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2023,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2023,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2023,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
